index,url,name,sub_title,model,color,price,currency,scraped_at,Age,Purchased
0,https://www.nike.com/t/dri-fit-team-minnesota-twins-mens-long-sleeve-t-shirt-6Wdjql,Nike Dri-FIT Team (MLB Minnesota Twins),Men's Long-Sleeve T-Shirt,14226571,Navy,40,USD,20-09-2022 23:32,19,0
1,https://www.nike.com/t/dri-fit-team-minnesota-twins-mens-long-sleeve-t-shirt-6Wdjql,Club América,Women's Nike Dri-FIT Soccer Jersey Dress,13814665,Black/Black,90,USD,20-09-2022 23:32,35,1
2,https://www.nike.com/t/dri-fit-team-minnesota-twins-mens-long-sleeve-t-shirt-6Wdjql,Nike Sportswear Swoosh,Women's Nike Dri-FIT Soccer Jersey Dress,13015648,Black/White,140,USD,20-09-2022 23:33,26,1
3,https://www.nike.com/t/dri-fit-team-minnesota-twins-mens-long-sleeve-t-shirt-6Wdjql,Nike Dri-FIT One Luxe,Women's Nike Dri-FIT Soccer Jersey Dress,13809796,Black/Rush Pink,22.97,USD,20-09-2022 23:33,27,0
4,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Paris Saint-Germain Repel Academy AWF,Women's Nike Dri-FIT Soccer Jersey Dress,13327415,Dark Grey/Black/Siren Red/Siren Red,70,USD,20-09-2022 23:33,19,1
5,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,NFL Miami Dolphins (Mike Gesicki),Women's Nike Dri-FIT Soccer Jersey Dress,14057953,White,130,USD,20-09-2022 23:33,27,0
6,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Kristaps Porziņģis Knicks Icon Edition,Women's Nike Dri-FIT Soccer Jersey Dress,11815891,Rush Blue,104.99,USD,20-09-2022 23:33,27,0
7,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Nike College (Oregon),Men's Max 90 T-Shirt,13817332,White,18.97,USD,20-09-2022 23:33,32,1
8,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Nike Sportswear,Men's Logo T-Shirt,13918594,Redstone,28.97,USD,20-09-2022 23:34,25,0
9,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Nike Therma Crucial Catch (NFL Miami Dolphins),Men's Logo T-Shirt,14233819,Black,85,USD,20-09-2022 23:34,35,1
10,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Nike Sportswear Tech Fleece,Men's Logo T-Shirt,12316355,Aegean Storm,45.97,USD,20-09-2022 23:34,26,0
11,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Paris Saint-Germain Strike,Men's Logo T-Shirt,13891109,White/Midnight Navy/University Red/Midnight Navy,45,USD,20-09-2022 23:34,26,1
12,https://www.nike.com/t/paris-saint-germain-repel-academy-awf-big-kids-soccer-jacket-95TSKB,Croatia 2022/23 Stadium Away,Men's Logo T-Shirt,14063839,Blackened Blue/University Red,95,USD,20-09-2022 23:35,20,0
